No,Saldo,Frek ATM,Jenis Kelamin,tempat tinggal,Frek Supermarket,Frek Dept Store,Usia,Tertarik
71,1.839,1,Perempuan,urban,3,1,35,0
72,1.769,3,Laki-Laki,urban,2,2,42,0
73,1.406,2,Perempuan,urban,3,1,36,0
74,0.740,8,Laki-Laki,rural,2,1,29,1
75,0.767,8,Laki-Laki,rural,3,0,41,0
76,2.414,0,Laki-Laki,urban,3,1,33,0
77,2.072,1,Perempuan,urban,3,3,37,0
78,3.025,6,Perempuan,urban,3,4,35,0
79,3.157,5,Laki-Laki,rural,1,0,33,0
80,8.357,4,Laki-Laki,rural,0,1,36,0
81,9.609,6,Perempuan,rural,2,0,41,0
82,4.836,3,Perempuan,rural,1,1,38,0
83,4.944,2,Perempuan,rural,5,1,38,0
84,1.065,3,Laki-Laki,rural,0,3,35,0
85,10.497,3,Perempuan,rural,0,3,39,0
86,6.077,8,Laki-Laki,rural,0,1,34,0
87,0.083,9,Perempuan,rural,5,0,30,0
88,6.714,5,Laki-Laki,urban,2,2,38,0
89,13.960,8,Perempuan,rural,3,0,37,0
90,5.265,2,Perempuan,urban,5,1,41,0
91,1.760,2,Laki-Laki,urban,2,1,42,0
92,7.971,7,Perempuan,rural,5,2,45,0
93,4.408,7,Laki-Laki,rural,1,1,44,0
94,1.384,4,Perempuan,rural,3,0,43,0
95,7.555,5,Perempuan,urban,4,2,38,0
96,3.128,4,Perempuan,urban,2,0,34,0
97,3.362,3,Perempuan,rural,1,2,37,0
98,10.809,6,Perempuan,rural,4,3,43,0
99,9.998,13,Perempuan,urban,4,1,32,1
100,2.917,4,Perempuan,urban,2,0,24,1
101,10.106,4,Laki-Laki,rural,1,2,38,0
102,3.040,4,Perempuan,urban,5,2,42,0
103,0.529,7,Perempuan,urban,1,3,45,0
104,8.623,2,Laki-Laki,rural,1,0,37,0
105,0.088,0,Perempuan,rural,7,1,44,0
106,3.193,8,Perempuan,rural,4,0,29,1
107,3.613,1,Laki-Laki,urban,2,2,42,0
108,1.541,5,Perempuan,rural,11,2,36,1
109,4.352,2,Laki-Laki,rural,5,9,38,1
110,0.589,5,Laki-Laki,urban,1,8,40,0
111,3.932,3,Perempuan,rural,0,1,39,0
112,1.679,13,Laki-Laki,rural,4,2,44,0
113,0.477,2,Perempuan,urban,4,3,42,0
114,3.277,6,Laki-Laki,rural,1,2,44,0
115,5.065,6,Perempuan,rural,2,3,45,0
116,9.644,4,Perempuan,urban,0,3,43,0
117,14.584,5,Perempuan,urban,4,6,37,1
118,0.663,3,Laki-Laki,rural,1,5,45,0
119,1.416,0,Laki-Laki,urban,0,2,37,0
120,1.869,3,Laki-Laki,urban,0,1,40,0
121,1.041,1,Laki-Laki,rural,1,0,32,0
122,3.184,4,Laki-Laki,rural,1,5,47,0
123,1.025,4,Laki-Laki,rural,2,2,37,0
124,0.254,1,Perempuan,urban,2,1,41,0
125,0.337,5,Laki-Laki,rural,3,3,40,0
126,1.893,1,Perempuan,rural,1,7,34,0
127,14.982,6,Laki-Laki,rural,1,2,31,1
128,21.567,5,Laki-Laki,rural,2,1,39,0
129,4.511,2,Laki-Laki,urban,1,2,43,0
130,14.460,9,Perempuan,urban,5,1,35,1
131,1.459,4,Perempuan,rural,2,1,38,0
132,3.433,7,Laki-Laki,rural,4,1,39,0
133,5.246,1,Perempuan,rural,4,1,42,0
134,8.228,4,Perempuan,urban,3,2,40,0
135,4.845,0,Perempuan,rural,1,1,35,0
136,0.354,5,Laki-Laki,rural,0,0,42,0
137,0.380,1,Laki-Laki,urban,0,1,38,0
138,3.190,8,Perempuan,urban,0,4,35,0
139,0.999,0,Perempuan,rural,1,4,39,0
140,0.714,5,Laki-Laki,rural,15,2,33,1
141,4.374,6,Perempuan,urban,4,2,44,0
142,3.273,3,Perempuan,urban,1,2,44,0
143,1.543,1,Laki-Laki,rural,1,2,35,0
144,39.783,14,Laki-Laki,rural,1,1,31,1
145,0.673,1,Laki-Laki,rural,2,2,44,0
146,34.871,13,Laki-Laki,urban,3,2,36,1
147,3.640,0,Perempuan,urban,4,3,36,0
148,4.985,2,Perempuan,rural,4,2,37,0
149,10.032,7,Laki-Laki,rural,1,1,38,0
150,2.691,0,Laki-Laki,urban,4,2,34,0
151,10.927,6,Laki-Laki,urban,3,4,38,0
152,8.663,3,Perempuan,rural,4,2,40,0
153,1.516,1,Laki-Laki,rural,4,2,37,0
154,1.844,7,Perempuan,urban,5,2,45,0
155,1.603,0,Perempuan,rural,3,0,37,0
156,6.818,6,Perempuan,rural,4,2,34,0
157,0.858,4,Laki-Laki,urban,1,2,43,0
158,10.133,5,Laki-Laki,rural,5,3,39,0
159,19.640,6,Laki-Laki,urban,4,3,40,0
160,2.600,4,Perempuan,rural,4,3,36,0
161,17.045,7,Laki-Laki,rural,0,3,42,0
162,14.104,4,Perempuan,urban,1,1,38,0
163,4.951,4,Perempuan,rural,5,1,37,0
164,3.911,4,Perempuan,rural,3,4,40,0
165,2.267,2,Laki-Laki,rural,1,0,43,0
166,3.158,1,Perempuan,rural,3,2,25,1
167,11.104,12,Perempuan,urban,6,3,37,1
168,1.248,4,Laki-Laki,urban,1,2,35,0
169,18.614,5,Perempuan,rural,7,2,35,1
170,6.052,1,Laki-Laki,rural,0,1,41,0
171,9.954,0,Perempuan,urban,0,1,31,0
172,6.924,8,Laki-Laki,urban,3,0,42,0
173,0.289,4,Laki-Laki,rural,0,0,33,0
174,6.971,9,Laki-Laki,urban,3,5,39,1
175,15.196,5,Perempuan,urban,6,3,44,0
176,0.109,5,Laki-Laki,rural,1,1,44,0
177,3.046,3,Laki-Laki,urban,1,5,40,0
178,0.763,6,Perempuan,rural,6,7,38,0
179,4.877,3,Laki-Laki,urban,0,6,38,0
180,0.776,3,Laki-Laki,rural,3,1,42,0
181,0.246,3,Perempuan,urban,2,3,36,0
182,4.058,1,Perempuan,urban,4,5,38,0
183,3.697,4,Laki-Laki,urban,0,1,40,0
184,5.263,7,Laki-Laki,rural,3,1,38,0
185,2.817,10,Laki-Laki,rural,3,2,38,0
186,0.668,3,Perempuan,urban,7,2,32,0
187,0.848,4,Laki-Laki,urban,1,5,37,0
188,0.681,3,Laki-Laki,urban,13,1,40,0
189,6.798,3,Perempuan,rural,4,2,33,0
190,0.856,3,Perempuan,rural,6,4,43,0
191,5.161,8,Perempuan,rural,4,3,35,1
192,4.419,4,Laki-Laki,rural,2,0,35,0
193,0.832,5,Perempuan,rural,5,0,43,0
194,0.514,4,Perempuan,urban,3,0,45,0
195,3.669,4,Perempuan,rural,3,4,38,0
196,2.227,2,Perempuan,rural,5,3,37,0
197,0.909,4,Laki-Laki,urban,0,1,48,0
198,0.074,5,Laki-Laki,rural,1,0,35,0
199,23.602,4,Laki-Laki,rural,0,3,31,1
200,7.357,5,Perempuan,rural,4,1,32,0
201,10.571,3,Perempuan,rural,4,3,42,0
202,12.828,5,Laki-Laki,rural,1,2,32,1
203,0.839,1,Laki-Laki,rural,1,2,41,0
204,1.909,2,Perempuan,rural,2,5,29,1
205,8.015,2,Perempuan,urban,3,1,38,0
206,2.047,3,Laki-Laki,urban,1,3,39,0
207,2.248,6,Laki-Laki,urban,0,1,44,0
208,30.739,11,Perempuan,urban,7,4,37,1
209,1.449,4,Laki-Laki,rural,1,3,38,0
210,0.454,5,Laki-Laki,rural,0,2,30,0
211,25.188,9,Perempuan,rural,2,3,46,1
212,0.558,3,Laki-Laki,urban,2,2,36,0
213,7.472,4,Laki-Laki,urban,0,4,39,0
214,4.510,4,Laki-Laki,urban,2,1,37,0
215,0.617,2,Perempuan,rural,5,1,33,0
216,15.554,7,Perempuan,urban,5,1,39,0
217,3.782,2,Perempuan,urban,0,0,41,0
218,11.542,10,Perempuan,urban,9,3,44,0
219,4.361,4,Perempuan,rural,3,3,40,0
220,6.363,8,Laki-Laki,urban,2,2,40,0
221,0.350,4,Perempuan,rural,5,1,34,0
222,4.420,4,Laki-Laki,rural,3,2,35,0
223,9.882,2,Laki-Laki,rural,5,3,48,0
224,16.146,5,Laki-Laki,rural,3,4,45,1
225,5.006,8,Perempuan,urban,3,4,40,0
226,3.044,3,Laki-Laki,rural,4,0,49,0
227,8.115,4,Perempuan,rural,4,0,36,0
228,3.322,2,Perempuan,rural,3,3,35,0
229,19.504,9,Perempuan,rural,4,3,45,0
230,7.448,1,Laki-Laki,urban,0,1,32,0
231,9.703,4,Laki-Laki,rural,1,2,41,0
232,1.209,0,Laki-Laki,urban,0,0,44,0
233,9.188,20,Perempuan,rural,2,3,33,1
234,2.686,2,Laki-Laki,rural,2,2,33,0
235,11.591,7,Perempuan,rural,6,1,34,1
236,4.058,6,Perempuan,rural,3,3,31,1
237,3.750,0,Laki-Laki,urban,0,7,32,0
238,1.510,3,Laki-Laki,urban,9,1,42,0
239,4.768,4,Perempuan,rural,8,6,32,1
240,9.042,4,Laki-Laki,rural,5,3,41,0
241,0.554,5,Perempuan,rural,6,1,30,1
242,8.932,7,Perempuan,rural,6,3,41,0
243,3.820,10,Laki-Laki,urban,5,3,41,0
244,3.355,4,Laki-Laki,urban,1,2,39,0
245,1.423,4,Perempuan,rural,0,1,38,0
246,8.611,10,Laki-Laki,rural,1,3,44,0
247,16.886,7,Laki-Laki,rural,5,2,34,1
248,6.900,2,Perempuan,urban,0,1,36,0
249,11.034,12,Laki-Laki,rural,3,1,33,1
250,6.083,3,Laki-Laki,urban,2,2,44,0
251,3.132,9,Perempuan,urban,17,0,39,1
252,1.013,2,Perempuan,urban,3,0,45,0
253,21.736,7,Perempuan,urban,5,1,34,1
254,3.480,5,Perempuan,rural,1,0,42,0
255,4.283,7,Perempuan,rural,2,0,36,0
256,4.876,11,Perempuan,urban,3,0,37,0
257,1.838,4,Laki-Laki,urban,9,4,38,1
258,31.030,11,Laki-Laki,urban,3,1,31,1
259,0.244,6,Perempuan,rural,2,3,38,0
260,12.191,11,Laki-Laki,rural,8,4,39,1
261,2.326,2,Laki-Laki,rural,0,2,36,0
262,2.147,2,Perempuan,rural,5,1,36,0
263,3.476,5,Laki-Laki,rural,0,2,36,0
264,3.567,4,Perempuan,urban,4,5,42,0
265,0.838,4,Laki-Laki,rural,1,2,36,0
266,0.092,4,Laki-Laki,rural,0,2,44,0
267,3.502,3,Perempuan,urban,0,3,34,0
268,9.231,13,Perempuan,rural,2,2,34,0
269,1.705,1,Laki-Laki,urban,1,0,36,0
270,0.072,3,Perempuan,urban,0,5,43,0
271,6.452,4,Laki-Laki,urban,0,5,42,0
272,6.399,9,Perempuan,rural,0,1,36,0
273,3.088,1,Laki-Laki,rural,2,1,37,0
274,0.227,3,Perempuan,rural,6,1,36,0
275,3.898,0,Laki-Laki,urban,0,2,39,0
276,3.653,6,Perempuan,urban,2,0,39,0
277,0.785,2,Perempuan,rural,3,1,42,0
278,0.730,3,Laki-Laki,rural,3,1,31,0
279,5.689,1,Perempuan,rural,3,0,35,0
280,0.161,3,Laki-Laki,rural,0,0,37,0
281,9.754,2,Laki-Laki,urban,0,3,43,0
282,2.393,3,Perempuan,urban,1,0,36,0
283,29.805,13,Laki-Laki,rural,3,9,37,1
284,0.446,2,Perempuan,rural,0,5,35,0
285,5.557,13,Perempuan,rural,17,3,34,1
286,7.675,6,Laki-Laki,rural,4,6,43,1
287,10.038,5,Perempuan,urban,1,2,43,0
288,27.292,8,Laki-Laki,urban,3,4,39,1
289,1.451,1,Laki-Laki,rural,4,1,44,0
290,1.914,0,Perempuan,urban,6,2,41,0
291,3.695,4,Laki-Laki,rural,1,1,43,0
292,3.801,5,Perempuan,rural,3,3,37,0
293,34.373,14,Laki-Laki,rural,3,3,39,1
294,3.588,6,Perempuan,urban,3,0,39,0
295,1.021,6,Laki-Laki,rural,0,3,33,0
296,0.021,3,Laki-Laki,rural,1,3,47,0
297,17.156,10,Laki-Laki,rural,4,4,44,1
298,17.713,8,Laki-Laki,urban,0,2,36,0
299,0.390,3,Perempuan,urban,6,1,36,0
300,9.656,5,Perempuan,rural,5,4,38,1
301,10.166,6,Laki-Laki,urban,2,1,37,0
302,13.635,7,Perempuan,urban,4,5,38,1
303,4.748,0,Perempuan,rural,2,2,39,0
304,0.352,4,Perempuan,urban,4,3,44,0
305,5.001,3,Laki-Laki,urban,0,2,29,1
306,3.317,3,Laki-Laki,urban,1,2,42,0
307,0.341,0,Laki-Laki,rural,3,1,41,0
308,20.464,6,Perempuan,rural,5,3,34,1
309,4.890,4,Laki-Laki,rural,1,1,37,0
310,2.187,4,Perempuan,urban,5,0,35,0
311,0.221,2,Perempuan,urban,1,3,32,0
312,13.034,3,Perempuan,rural,4,7,43,0
313,4.271,1,Perempuan,urban,2,2,35,0
314,0.083,8,Perempuan,rural,2,3,42,0
315,0.445,4,Perempuan,rural,4,7,48,0
316,4.196,0,Laki-Laki,rural,0,1,36,0
317,14.061,5,Perempuan,urban,4,2,47,0
318,11.594,1,Perempuan,rural,5,1,50,0
319,0.084,9,Laki-Laki,rural,5,1,44,0
320,5.489,3,Laki-Laki,urban,1,1,33,0
321,2.291,5,Laki-Laki,urban,5,5,40,0
322,1.016,5,Laki-Laki,rural,6,1,36,0
323,7.727,11,Perempuan,rural,8,3,40,1
324,3.305,2,Perempuan,urban,5,1,34,0
325,0.733,9,Perempuan,rural,2,2,33,0
326,0.393,3,Laki-Laki,urban,0,1,33,0
327,0.391,4,Perempuan,rural,1,3,37,0
328,23.617,8,Perempuan,rural,4,6,41,1
329,9.062,5,Laki-Laki,urban,4,1,36,0
330,17.120,8,Laki-Laki,rural,4,2,35,0
331,4.352,6,Perempuan,rural,2,2,36,0
332,2.799,2,Laki-Laki,rural,2,0,36,0
333,0.911,1,Laki-Laki,urban,13,2,37,0
334,7.443,4,Perempuan,rural,2,1,40,0
335,1.604,4,Perempuan,rural,0,1,42,0
336,0.354,2,Laki-Laki,rural,1,3,37,0
337,5.412,5,Laki-Laki,rural,2,3,41,0
338,18.019,14,Perempuan,rural,7,1,38,1
339,6.466,6,Perempuan,rural,3,0,46,0
340,0.270,3,Perempuan,urban,5,2,27,1
341,0.282,3,Perempuan,rural,3,2,35,0
342,0.186,0,Perempuan,rural,4,0,43,0
343,16.111,10,Laki-Laki,rural,5,8,29,1
344,0.146,5,Perempuan,rural,4,1,42,0
345,8.964,6,Laki-Laki,rural,5,2,34,1
346,15.065,5,Perempuan,rural,2,4,40,0
347,3.965,12,Perempuan,rural,6,0,31,1
348,2.491,2,Laki-Laki,urban,0,1,32,0
349,14.997,7,Perempuan,urban,11,1,38,1
350,4.884,1,Perempuan,rural,2,2,38,0
351,9.708,8,Perempuan,rural,10,1,29,1
352,5.108,4,Laki-Laki,rural,0,2,42,0
353,8.707,0,Laki-Laki,urban,1,3,31,1
354,0.517,3,Laki-Laki,rural,2,2,39,0
355,0.887,4,Laki-Laki,urban,0,0,46,0
356,9.361,2,Laki-Laki,urban,1,2,41,0
357,2.782,6,Perempuan,rural,6,0,39,0
358,2.968,2,Perempuan,rural,0,1,37,0
359,4.373,8,Laki-Laki,urban,2,1,44,0
360,0.489,3,Laki-Laki,rural,0,1,43,0
361,1.954,1,Perempuan,rural,2,3,39,0
362,3.911,5,Laki-Laki,rural,0,2,38,0
363,15.369,8,Laki-Laki,rural,5,5,37,1
364,3.484,2,Laki-Laki,urban,1,0,35,0
365,14.693,7,Laki-Laki,rural,1,3,30,1
366,9.197,8,Perempuan,rural,4,0,35,0
367,5.231,1,Perempuan,urban,2,5,43,0
368,17.134,10,Perempuan,rural,8,3,32,1
369,8.560,8,Laki-Laki,urban,5,8,43,1
370,50.959,17,Laki-Laki,rural,1,9,38,1
371,12.927,7,Perempuan,urban,13,3,39,1
372,1.349,1,Laki-Laki,urban,1,5,34,0
373,3.356,10,Laki-Laki,urban,1,1,40,0
374,4.582,5,Laki-Laki,urban,3,1,33,0
375,10.993,3,Laki-Laki,rural,0,2,50,0
376,5.329,6,Laki-Laki,urban,1,1,38,0
377,0.066,2,Perempuan,urban,0,2,40,0
378,0.570,8,Perempuan,urban,3,0,30,0
379,19.454,13,Perempuan,rural,4,1,38,1
380,1.179,3,Perempuan,rural,4,1,41,0
381,1.907,0,Laki-Laki,rural,0,2,37,0
382,0.315,2,Perempuan,rural,1,2,40,0
383,2.574,1,Perempuan,rural,9,1,38,0
384,8.405,3,Perempuan,rural,4,0,48,0
385,0.543,3,Perempuan,urban,3,3,37,0
386,8.044,0,Perempuan,rural,2,1,35,0
387,21.609,10,Perempuan,rural,8,3,38,1
388,3.502,3,Perempuan,urban,9,2,32,1
389,4.341,6,Perempuan,rural,1,2,29,1
390,1.401,1,Perempuan,urban,4,1,50,0
391,13.586,8,Laki-Laki,urban,3,1,39,0
392,0.705,4,Perempuan,rural,7,2,41,0
393,0.573,2,Laki-Laki,rural,3,3,29,1
394,11.186,2,Laki-Laki,rural,1,4,35,0
395,2.624,3,Perempuan,rural,2,3,43,0
396,0.179,3,Perempuan,urban,7,0,33,0
397,2.347,0,Perempuan,urban,0,2,41,0
398,1.686,6,Perempuan,urban,1,2,35,0
399,4.466,5,Perempuan,rural,3,1,32,0
400,4.414,12,Perempuan,urban,3,4,47,1
401,21.479,11,Laki-Laki,rural,4,8,36,1
402,4.161,3,Laki-Laki,rural,2,0,32,0
403,17.600,3,Laki-Laki,rural,3,4,33,1
404,3.370,5,Perempuan,rural,5,2,32,0
405,6.615,9,Laki-Laki,rural,2,6,39,0
406,0.716,7,Laki-Laki,rural,5,0,37,0
407,6.359,2,Perempuan,urban,4,3,39,0
408,26.792,9,Laki-Laki,rural,1,1,34,1
409,1.050,1,Perempuan,urban,3,4,42,0
410,7.884,10,Perempuan,rural,5,1,28,1
411,0.390,2,Laki-Laki,urban,0,4,41,0
412,1.980,2,Perempuan,rural,4,1,36,0
413,5.195,6,Laki-Laki,rural,2,2,49,0
414,2.265,0,Perempuan,rural,3,1,41,0
415,16.131,4,Perempuan,urban,1,1,41,0
416,0.188,2,Perempuan,urban,4,0,33,0
417,0.875,4,Perempuan,urban,3,1,35,0
418,1.842,3,Perempuan,rural,3,2,41,0
419,0.021,1,Laki-Laki,rural,2,1,26,1
420,6.913,5,Laki-Laki,urban,4,1,31,1
421,6.456,5,Perempuan,rural,9,0,37,0
422,1.197,4,Perempuan,rural,0,2,39,0
423,7.131,0,Laki-Laki,rural,0,1,47,0
424,7.866,4,Perempuan,urban,9,4,33,1
425,20.535,5,Laki-Laki,rural,0,3,39,0
426,0.037,1,Perempuan,urban,5,1,39,0
427,1.862,2,Perempuan,urban,4,0,41,0
428,21.387,10,Perempuan,urban,3,2,38,0
429,3.159,4,Perempuan,rural,4,2,35,0
430,2.008,0,Laki-Laki,urban,2,0,35,0
431,0.119,2,Laki-Laki,rural,1,2,40,0
432,33.487,14,Laki-Laki,urban,2,4,39,1
433,0.427,1,Laki-Laki,rural,3,4,43,0
434,5.554,5,Perempuan,urban,4,3,41,0
435,11.989,5,Perempuan,rural,4,1,39,0
436,0.958,5,Laki-Laki,rural,4,0,42,0
437,10.179,7,Perempuan,urban,4,8,39,0
438,4.834,3,Perempuan,rural,1,2,35,0
439,7.984,4,Perempuan,rural,4,3,37,0
440,0.653,0,Perempuan,rural,2,0,42,0
441,10.910,11,Perempuan,urban,4,3,31,1
442,0.212,3,Laki-Laki,rural,1,1,34,0
443,3.486,2,Perempuan,urban,4,2,36,0
444,3.734,1,Laki-Laki,rural,0,2,28,0
445,4.018,2,Perempuan,rural,4,3,41,0
446,0.285,0,Laki-Laki,rural,1,2,39,0
447,4.262,2,Perempuan,urban,6,3,37,0
448,0.012,7,Perempuan,rural,5,0,41,0
449,3.509,7,Perempuan,rural,5,2,30,1
450,2.331,2,Laki-Laki,rural,1,5,46,0
451,4.920,6,Laki-Laki,rural,1,0,39,0
452,5.743,2,Laki-Laki,rural,2,3,38,0
453,14.875,6,Perempuan,rural,3,4,45,0
454,49.594,18,Laki-Laki,rural,3,14,29,1
455,1.247,5,Laki-Laki,rural,1,1,45,0
456,1.360,1,Laki-Laki,urban,2,1,40,0
457,0.283,4,Perempuan,urban,1,0,42,0
458,10.621,3,Perempuan,urban,4,2,33,0
459,3.135,6,Laki-Laki,rural,1,1,30,0
460,1.681,3,Perempuan,urban,1,2,34,0
461,3.235,5,Laki-Laki,rural,1,3,42,0
462,5.379,2,Laki-Laki,rural,1,1,36,0
463,3.459,2,Perempuan,urban,2,2,40,0
464,6.899,3,Laki-Laki,urban,1,1,42,0
465,9.112,10,Laki-Laki,rural,5,0,44,0
466,15.315,9,Perempuan,rural,5,2,34,1
467,1.184,3,Perempuan,urban,2,1,32,0
468,3.605,5,Laki-Laki,urban,4,2,45,0
469,7.282,10,Laki-Laki,rural,2,1,43,0
470,5.228,2,Laki-Laki,urban,1,2,37,0
471,0.567,3,Laki-Laki,urban,2,4,37,0
472,2.477,3,Perempuan,rural,3,5,42,0
473,15.069,5,Perempuan,rural,2,1,33,0
474,0.580,2,Laki-Laki,rural,1,1,41,0
475,0.231,4,Perempuan,rural,7,0,43,0
476,9.086,8,Laki-Laki,rural,5,2,31,1
477,1.715,4,Perempuan,rural,4,0,39,0
478,12.270,3,Laki-Laki,rural,0,7,44,0
479,3.433,4,Perempuan,urban,2,3,38,0
480,1.214,6,Perempuan,rural,1,2,46,0
481,1.921,1,Laki-Laki,rural,0,1,33,0
482,5.442,3,Laki-Laki,urban,3,1,36,0
483,1.951,4,Perempuan,rural,3,1,39,0
484,2.819,5,Perempuan,urban,6,5,49,1
485,3.545,2,Laki-Laki,rural,0,2,35,0
486,0.191,4,Perempuan,rural,2,1,34,0
487,7.654,5,Perempuan,rural,7,0,43,0
488,0.593,5,Laki-Laki,urban,2,4,44,0
489,6.327,9,Laki-Laki,rural,3,2,39,0
490,10.305,6,Perempuan,rural,8,6,33,1
491,3.301,3,Laki-Laki,urban,4,2,39,0
492,4.268,3,Perempuan,urban,1,1,36,0
493,14.677,3,Laki-Laki,urban,1,2,37,0
494,12.936,4,Laki-Laki,urban,5,5,34,1
495,9.664,6,Perempuan,rural,3,2,31,1
496,3.918,3,Perempuan,rural,4,0,35,0
497,28.249,14,Perempuan,urban,4,2,43,1
498,4.701,3,Laki-Laki,rural,2,0,42,0
499,2.546,2,Laki-Laki,rural,0,1,39,0
500,34.312,18,Laki-Laki,rural,1,5,44,1
501,10.819,16,Perempuan,rural,3,5,33,1
502,0.730,0,Perempuan,urban,3,1,44,0
503,0.367,7,Laki-Laki,rural,4,4,32,1
504,2.867,0,Laki-Laki,urban,1,1,45,0
505,2.967,6,Laki-Laki,urban,0,0,35,0
506,0.776,6,Perempuan,urban,1,6,41,0
507,9.451,8,Laki-Laki,rural,0,3,41,0
508,1.296,2,Perempuan,urban,5,5,38,0
509,9.219,8,Perempuan,rural,4,0,27,1
510,13.066,7,Laki-Laki,urban,2,0,33,0
511,11.828,6,Laki-Laki,urban,1,6,32,1
512,6.674,8,Perempuan,rural,4,2,35,0
513,0.418,1,Laki-Laki,urban,6,2,39,0
514,47.112,20,Laki-Laki,rural,8,8,40,1
515,0.295,3,Perempuan,rural,3,6,40,0
516,8.697,6,Laki-Laki,rural,3,2,36,0
517,0.434,4,Perempuan,rural,3,4,36,0
518,15.774,4,Laki-Laki,urban,1,6,42,0
519,0.378,3,Perempuan,urban,4,0,31,0
520,29.270,14,Perempuan,rural,3,2,36,1
521,2.760,1,Laki-Laki,rural,1,2,27,1
522,9.571,5,Laki-Laki,rural,3,2,32,1
523,0.336,1,Perempuan,urban,4,2,32,0
524,6.120,0,Laki-Laki,urban,1,2,38,0
525,0.854,4,Perempuan,rural,4,2,43,0
526,7.891,5,Laki-Laki,rural,1,3,32,0
527,0.787,3,Perempuan,urban,1,3,39,0
528,5.458,1,Laki-Laki,urban,4,0,36,0
529,10.187,17,Perempuan,urban,7,3,37,1
530,2.617,0,Perempuan,urban,2,0,33,0
531,1.638,2,Perempuan,rural,1,2,35,0
532,2.872,4,Laki-Laki,rural,4,1,33,0
533,19.243,4,Perempuan,rural,7,3,34,1
534,3.286,6,Laki-Laki,urban,1,0,27,1
