Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Property,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
0,0 <= account < 200,36,existing credits,repairs,2384,100 <= savings < 500,employed < 1 year,4,male-single,none,1,no property,33,none,rent,1,unskilled-resident,1,none,yes
1,0 <= account < 200,12,critical account,domestic appliances,1424,savings >= 1000,4 <= employed < 7 years,4,male-single,none,3,building society,26,none,own,1,skilled employee,1,none,yes
1,account < 0 ,6,critical account,car-new,4716,100 <= savings < 500,employed < 1 year,1,male-single,none,3,real estate,44,none,own,2,unskilled-resident,2,none,yes
1,0 <= account < 200,11,delay paying in past,radio/TV,4771,savings >= 1000,4 <= employed < 7 years,2,male-single,none,4,building society,51,none,own,1,skilled employee,1,none,yes
1,account < 0 ,12,existing credits,funiture,652,no savings,employed >= 7 years,4,female-divorced/married,none,4,building society,24,none,rent,1,skilled employee,1,none,yes
1,0 <= account < 200,9,critical account,radio/TV,1154,no savings,employed >= 7 years,2,male-single,none,4,real estate,37,none,own,3,unskilled-resident,1,none,yes
1,no cheking account,15,existing credits,car-new,3556,500 <= savings < 1000,1 <= employed < 4 years,3,male-single,none,2,no property,29,none,own,1,skilled employee,1,none,yes
1,account >= 200,42,critical account,car-used,4796,no savings,employed >= 7 years,4,male-single,none,4,no property,56,none,for free,1,skilled employee,1,none,yes
1,account >= 200,30,critical account,radio/TV,3017,no savings,employed >= 7 years,4,male-single,none,4,building society,47,none,own,1,skilled employee,1,none,yes
1,no cheking account,36,critical account,car-new,3535,savings >= 1000,4 <= employed < 7 years,4,male-single,none,4,car or other,37,none,own,2,skilled employee,1,yes,yes
1,no cheking account,36,critical account,car-new,6614,no savings,employed >= 7 years,4,male-single,none,4,car or other,34,none,own,2,high qualified employee,1,yes,yes
1,no cheking account,24,existing credits,radio/TV,1376,savings >= 1000,4 <= employed < 7 years,4,female-divorced/married,none,1,car or other,28,none,own,1,skilled employee,1,none,yes
1,account < 0 ,15,existing credits,car-new,1721,100 <= savings < 500,employed < 1 year,2,male-single,none,3,real estate,36,none,own,1,skilled employee,1,none,yes
1,account < 0 ,6,critical account,car-new,860,no savings,employed >= 7 years,1,female-divorced/married,none,4,no property,39,none,own,2,skilled employee,1,yes,yes
1,no cheking account,12,critical account,car-new,1495,no savings,employed >= 7 years,4,male-single,none,1,real estate,38,none,own,2,unskilled-resident,2,none,yes
1,no cheking account,12,critical account,radio/TV,1934,no savings,employed >= 7 years,2,male-single,none,2,no property,26,none,own,2,skilled employee,1,none,yes
1,no cheking account,18,existing credits,car-used,3378,500 <= savings < 1000,1 <= employed < 4 years,2,male-single,none,1,building society,31,none,own,1,skilled employee,1,yes,yes
1,no cheking account,24,critical account,car-used,3868,no savings,employed >= 7 years,4,female-divorced/married,none,2,car or other,41,none,rent,2,high qualified employee,1,yes,yes
1,no cheking account,12,critical account,repairs,996,savings >= 1000,4 <= employed < 7 years,4,female-divorced/married,none,4,real estate,23,none,own,2,skilled employee,1,none,yes
1,account < 0 ,24,existing credits,others,1755,no savings,employed >= 7 years,4,female-divorced/married,guarantor,4,real estate,58,none,own,1,unskilled-resident,1,yes,yes
1,no cheking account,18,critical account,car-new,1028,500 <= savings < 1000,1 <= employed < 4 years,4,female-divorced/married,none,3,real estate,36,none,own,2,skilled employee,1,none,yes
1,0 <= account < 200,24,critical account,business,2825,savings >= 1000,4 <= employed < 7 years,4,male-single,none,3,no property,34,none,own,2,skilled employee,2,yes,yes
1,0 <= account < 200,18,existing credits,education,1239,500 <= savings < 1000,1 <= employed < 4 years,4,male-single,none,4,no property,61,none,for free,1,skilled employee,1,none,yes
0,account < 0 ,18,existing credits,car-new,1216,100 <= savings < 500,employed < 1 year,4,female-divorced/married,none,3,car or other,23,none,rent,1,skilled employee,1,yes,yes
1,no cheking account,24,existing credits,business,1258,savings >= 1000,4 <= employed < 7 years,4,male-single,none,1,real estate,25,none,own,1,skilled employee,1,yes,yes
0,no cheking account,18,critical account,education,1864,500 <= savings < 1000,1 <= employed < 4 years,4,female-divorced/married,none,2,real estate,30,none,own,2,skilled employee,1,none,yes
1,no cheking account,24,existing credits,car-new,1474,100 <= savings < 500,employed < 1 year,4,male-married,none,3,real estate,33,none,own,1,skilled employee,1,yes,yes
1,account < 0 ,24,critical account,business,1382,savings >= 1000,4 <= employed < 7 years,4,male-single,none,1,real estate,26,none,own,2,skilled employee,1,yes,yes
1,no cheking account,12,existing credits,car-new,640,500 <= savings < 1000,1 <= employed < 4 years,4,male-divorced,none,2,real estate,49,none,own,1,unskilled-resident,1,none,yes
1,account >= 200,36,existing credits,radio/TV,3919,500 <= savings < 1000,1 <= employed < 4 years,2,male-single,none,2,real estate,23,none,own,1,skilled employee,1,yes,yes
1,no cheking account,9,critical account,car-new,1224,500 <= savings < 1000,1 <= employed < 4 years,3,male-single,none,1,real estate,30,none,own,2,skilled employee,1,none,yes
1,no cheking account,12,critical account,radio/TV,2331,no savings,employed >= 7 years,1,male-single,co-applicant,4,real estate,49,none,own,1,skilled employee,1,yes,yes
1,no cheking account,24,existing credits,car-used,6313,no savings,employed >= 7 years,3,male-single,none,4,car or other,41,none,own,1,high qualified employee,2,yes,yes
1,account < 0 ,12,critical account,radio/TV,385,savings >= 1000,4 <= employed < 7 years,4,female-divorced/married,none,3,real estate,58,none,own,4,unskilled-resident,1,yes,yes
1,no cheking account,12,critical account,radio/TV,1655,no savings,employed >= 7 years,2,male-single,none,4,real estate,63,none,own,2,unskilled-resident,1,yes,yes
1,account < 0 ,15,existing credits,radio/TV,1053,100 <= savings < 500,employed < 1 year,4,male-married,none,2,real estate,27,none,own,1,skilled employee,1,none,no
1,no cheking account,21,existing credits,radio/TV,3160,no savings,employed >= 7 years,4,male-single,none,3,building society,41,none,own,1,skilled employee,1,yes,yes
1,no cheking account,36,existing credits,car-new,3079,500 <= savings < 1000,1 <= employed < 4 years,4,male-single,none,4,real estate,36,none,own,1,skilled employee,1,none,yes
1,no cheking account,12,critical account,car-new,1163,500 <= savings < 1000,1 <= employed < 4 years,4,male-single,none,4,real estate,44,none,own,1,skilled employee,1,yes,yes
1,no cheking account,24,existing credits,car-used,2679,100 <= savings < 500,employed < 1 year,4,female-divorced/married,none,1,no property,29,none,own,1,high qualified employee,1,yes,yes
1,no cheking account,48,critical account,radio/TV,3578,no savings,employed >= 7 years,4,male-single,none,1,real estate,47,none,own,1,skilled employee,1,yes,yes
1,no cheking account,36,delay paying in past,car-new,10875,no savings,employed >= 7 years,2,male-single,none,2,car or other,45,none,own,2,skilled employee,2,yes,yes
1,account < 0 ,12,delay paying in past,car-new,1344,500 <= savings < 1000,1 <= employed < 4 years,4,male-single,none,2,real estate,43,none,own,2,unskilled-resident,2,none,yes
1,no cheking account,6,critical account,radio/TV,1237,500 <= savings < 1000,1 <= employed < 4 years,1,female-divorced/married,none,1,building society,27,none,own,2,skilled employee,1,none,yes
1,no cheking account,12,existing credits,radio/TV,3077,500 <= savings < 1000,1 <= employed < 4 years,2,male-single,none,4,car or other,52,none,own,1,skilled employee,1,yes,yes
1,no cheking account,24,existing credits,radio/TV,2284,savings >= 1000,4 <= employed < 7 years,4,male-single,none,2,car or other,28,none,own,1,skilled employee,1,yes,yes
1,0 <= account < 200,12,existing credits,radio/TV,1567,500 <= savings < 1000,1 <= employed < 4 years,1,female-divorced/married,none,1,car or other,22,none,own,1,skilled employee,1,yes,yes
1,no cheking account,24,delay paying in past,car-new,2032,no savings,employed >= 7 years,4,male-single,none,4,no property,60,none,for free,2,skilled employee,1,yes,yes
1,0 <= account < 200,21,critical account,funiture,2745,savings >= 1000,4 <= employed < 7 years,3,male-single,none,2,car or other,32,none,own,2,skilled employee,1,yes,yes
1,no cheking account,30,existing credits,radio/TV,1867,no savings,employed >= 7 years,4,male-single,none,4,car or other,58,none,own,1,skilled employee,1,yes,yes
1,no cheking account,36,existing credits,radio/TV,2299,no savings,employed >= 7 years,4,male-single,none,4,car or other,39,none,own,1,skilled employee,1,none,yes
1,no cheking account,24,existing credits,funiture,929,savings >= 1000,4 <= employed < 7 years,4,male-single,none,2,car or other,31,stores,own,1,skilled employee,1,yes,yes
1,account >= 200,12,existing credits,radio/TV,3399,no savings,employed >= 7 years,2,male-single,none,3,car or other,37,none,own,1,high qualified employee,1,none,yes
1,0 <= account < 200,9,existing credits,funiture,2030,savings >= 1000,4 <= employed < 7 years,2,male-single,none,1,car or other,24,none,own,1,skilled employee,1,yes,yes
1,no cheking account,21,critical account,car-used,3275,no savings,employed >= 7 years,1,male-single,none,4,car or other,36,none,own,1,high qualified employee,1,yes,yes
1,no cheking account,24,critical account,car-new,1940,no savings,employed >= 7 years,4,male-single,none,4,real estate,60,none,own,1,skilled employee,1,yes,yes
1,account < 0 ,21,critical account,car-new,1602,no savings,employed >= 7 years,4,male-married,none,3,car or other,30,none,own,2,skilled employee,1,yes,yes
1,no cheking account,15,existing credits,radio/TV,1979,no savings,employed >= 7 years,4,male-single,none,2,car or other,35,none,own,1,skilled employee,1,none,yes
1,no cheking account,24,critical account,car-new,2022,500 <= savings < 1000,1 <= employed < 4 years,4,female-divorced/married,none,4,car or other,37,none,own,1,skilled employee,1,yes,yes
1,no cheking account,36,critical account,radio/TV,3342,no savings,employed >= 7 years,4,male-single,none,2,car or other,51,none,own,1,skilled employee,1,yes,yes
1,0 <= account < 200,18,existing credits,car-new,5866,500 <= savings < 1000,1 <= employed < 4 years,2,male-single,none,2,car or other,30,none,own,2,skilled employee,1,yes,yes
1,account >= 200,15,critical account,car-used,2360,500 <= savings < 1000,1 <= employed < 4 years,2,male-single,none,2,car or other,36,none,own,1,skilled employee,1,yes,yes
1,no cheking account,15,critical account,funiture,1520,no savings,employed >= 7 years,4,male-single,none,4,building society,63,none,own,1,skilled employee,1,none,yes
1,account < 0 ,12,existing credits,car-new,3651,500 <= savings < 1000,1 <= employed < 4 years,1,male-single,none,3,building society,31,none,own,1,skilled employee,2,none,yes
1,no cheking account,24,critical account,car-used,2346,savings >= 1000,4 <= employed < 7 years,4,male-single,none,3,car or other,35,none,own,2,skilled employee,1,yes,yes
1,no cheking account,36,delay paying in past,radio/TV,4454,500 <= savings < 1000,1 <= employed < 4 years,4,female-divorced/married,none,4,real estate,34,none,own,2,skilled employee,1,none,yes
1,account < 0 ,6,critical account,car-new,666,savings >= 1000,4 <= employed < 7 years,3,female-divorced/married,none,4,real estate,39,none,own,2,unskilled-resident,1,yes,yes
1,0 <= account < 200,24,delay paying in past,car-new,1965,500 <= savings < 1000,1 <= employed < 4 years,4,female-divorced/married,none,4,car or other,42,none,rent,2,skilled employee,1,yes,yes
1,0 <= account < 200,12,critical account,car-new,1995,100 <= savings < 500,employed < 1 year,4,male-single,none,1,car or other,27,none,own,1,skilled employee,1,none,yes
1,0 <= account < 200,30,existing credits,radio/TV,2991,no savings,employed >= 7 years,2,female-divorced/married,none,4,car or other,25,none,own,1,skilled employee,1,none,yes
1,0 <= account < 200,30,no credits taken,business,4221,500 <= savings < 1000,1 <= employed < 4 years,2,female-divorced/married,none,1,car or other,28,none,own,2,skilled employee,1,none,yes
1,account < 0 ,9,existing credits,radio/TV,1364,savings >= 1000,4 <= employed < 7 years,3,male-single,none,4,real estate,59,none,own,1,skilled employee,1,none,yes
1,0 <= account < 200,18,critical account,funiture,6361,no savings,employed >= 7 years,2,male-single,none,1,no property,41,none,own,1,skilled employee,1,yes,yes
1,no cheking account,27,critical account,funiture,4526,100 <= savings < 500,employed < 1 year,4,male-single,none,2,real estate,32,stores,own,2,unskilled-resident,2,yes,yes
1,0 <= account < 200,12,critical account,radio/TV,3573,500 <= savings < 1000,1 <= employed < 4 years,1,female-divorced/married,none,1,real estate,23,none,own,1,unskilled-resident,1,none,yes
0,0 <= account < 200,36,delay paying in past,business,4455,500 <= savings < 1000,1 <= employed < 4 years,2,male-divorced,none,2,real estate,30,stores,own,2,high qualified employee,1,yes,yes
1,account < 0 ,9,existing credits,funiture,2136,500 <= savings < 1000,1 <= employed < 4 years,3,male-single,none,2,real estate,25,none,own,1,skilled employee,1,none,yes
1,0 <= account < 200,42,critical account,business,5954,savings >= 1000,4 <= employed < 7 years,2,female-divorced/married,none,1,real estate,41,bank,own,2,unskilled-resident,1,none,yes
1,no cheking account,24,critical account,funiture,3777,500 <= savings < 1000,1 <= employed < 4 years,4,male-single,none,4,real estate,40,none,own,1,skilled employee,1,yes,yes
1,account < 0 ,15,existing credits,business,806,500 <= savings < 1000,1 <= employed < 4 years,4,female-divorced/married,none,4,building society,22,none,own,1,unskilled-resident,1,none,yes
1,0 <= account < 200,24,delay paying in past,business,4712,500 <= savings < 1000,1 <= employed < 4 years,4,male-single,none,2,building society,34,bank,own,2,high qualified employee,1,yes,yes
1,0 <= account < 200,36,delay paying in past,car-new,7432,500 <= savings < 1000,1 <= employed < 4 years,2,female-divorced/married,none,2,building society,54,none,rent,1,skilled employee,1,none,yes
1,no cheking account,24,critical account,radio/TV,1851,savings >= 1000,4 <= employed < 7 years,4,male-married,guarantor,2,car or other,33,none,own,2,skilled employee,1,yes,yes
1,no cheking account,24,existing credits,car-new,1393,500 <= savings < 1000,1 <= employed < 4 years,2,male-single,guarantor,2,real estate,31,none,own,1,skilled employee,1,yes,yes
1,no cheking account,12,critical account,business,1412,500 <= savings < 1000,1 <= employed < 4 years,4,female-divorced/married,guarantor,2,real estate,29,none,own,2,high qualified employee,1,yes,yes
1,no cheking account,18,existing credits,radio/TV,1473,100 <= savings < 500,employed < 1 year,3,male-married,none,4,real estate,39,none,own,1,skilled employee,1,yes,yes
1,no cheking account,24,existing credits,radio/TV,1533,100 <= savings < 500,employed < 1 year,4,female-divorced/married,none,3,car or other,38,stores,own,1,skilled employee,1,yes,yes
1,no cheking account,12,critical account,education,2012,savings >= 1000,4 <= employed < 7 years,4,female-divorced/married,none,2,car or other,61,none,own,1,skilled employee,1,none,yes
0,account < 0 ,15,existing credits,car-new,3959,500 <= savings < 1000,1 <= employed < 4 years,3,female-divorced/married,none,2,building society,29,none,own,1,skilled employee,1,yes,yes
1,account < 0 ,6,existing credits,funiture,428,no savings,employed >= 7 years,2,female-divorced/married,none,1,building society,49,bank,own,1,skilled employee,1,yes,yes
1,0 <= account < 200,12,critical account,car-new,2366,savings >= 1000,4 <= employed < 7 years,3,male-divorced,none,3,car or other,36,none,own,1,high qualified employee,1,yes,yes
1,no cheking account,12,existing credits,funiture,763,500 <= savings < 1000,1 <= employed < 4 years,4,female-divorced/married,none,1,real estate,26,none,own,1,skilled employee,1,yes,yes
1,0 <= account < 200,21,existing credits,funiture,3976,savings >= 1000,4 <= employed < 7 years,2,male-single,none,3,car or other,35,none,own,1,skilled employee,1,yes,yes
1,0 <= account < 200,18,existing credits,car-new,6260,savings >= 1000,4 <= employed < 7 years,3,male-single,none,3,real estate,28,none,rent,1,unskilled-resident,1,none,yes
1,0 <= account < 200,9,critical account,funiture,1919,savings >= 1000,4 <= employed < 7 years,4,male-single,none,3,car or other,35,none,rent,1,skilled employee,1,yes,yes
1,no cheking account,24,existing credits,car-used,2603,500 <= savings < 1000,1 <= employed < 4 years,2,female-divorced/married,none,4,car or other,28,none,rent,1,skilled employee,1,yes,yes
1,no cheking account,9,critical account,education,936,no savings,employed >= 7 years,4,male-single,none,2,car or other,52,none,own,2,skilled employee,1,yes,yes
1,no cheking account,24,existing credits,funiture,3062,no savings,employed >= 7 years,4,male-single,none,3,no property,32,none,rent,1,skilled employee,1,yes,yes
1,0 <= account < 200,36,existing credits,radio/TV,4795,100 <= savings < 500,employed < 1 year,4,female-divorced/married,none,1,no property,30,none,own,1,high qualified employee,1,yes,yes
1,no cheking account,36,critical account,car-used,5842,no savings,employed >= 7 years,2,male-single,none,2,building society,35,none,own,2,skilled employee,2,yes,yes
1,0 <= account < 200,6,existing credits,radio/TV,2063,100 <= savings < 500,employed < 1 year,4,male-married,none,3,car or other,30,none,rent,1,high qualified employee,1,yes,yes
1,no cheking account,15,critical account,radio/TV,1459,500 <= savings < 1000,1 <= employed < 4 years,4,female-divorced/married,none,2,car or other,43,none,own,1,unskilled-resident,1,none,yes
1,no cheking account,15,existing credits,radio/TV,1213,no savings,employed >= 7 years,4,male-single,none,3,building society,47,stores,own,1,skilled employee,1,yes,yes
1,no cheking account,24,critical account,radio/TV,5103,100 <= savings < 500,employed < 1 year,3,male-married,none,3,no property,47,none,for free,3,skilled employee,1,yes,yes
1,no cheking account,15,existing credits,domestic appliances,874,100 <= savings < 500,employed < 1 year,4,female-divorced/married,none,1,real estate,24,none,own,1,skilled employee,1,none,yes
1,no cheking account,6,existing credits,funiture,2978,500 <= savings < 1000,1 <= employed < 4 years,1,male-single,none,2,car or other,32,none,own,1,skilled employee,1,yes,yes
1,no cheking account,18,existing credits,car-new,1820,500 <= savings < 1000,1 <= employed < 4 years,2,male-married,none,2,building society,30,none,own,1,high qualified employee,1,yes,yes
1,no cheking account,24,critical account,radio/TV,2872,no savings,employed >= 7 years,3,male-single,none,4,real estate,36,none,own,1,skilled employee,2,yes,yes
1,account >= 200,24,existing credits,funiture,1925,500 <= savings < 1000,1 <= employed < 4 years,2,male-single,none,2,real estate,26,none,own,1,skilled employee,1,none,yes
1,no cheking account,18,existing credits,funiture,2515,500 <= savings < 1000,1 <= employed < 4 years,3,male-single,none,4,real estate,43,none,own,1,skilled employee,1,yes,yes
1,account >= 200,6,existing credits,funiture,2116,500 <= savings < 1000,1 <= employed < 4 years,2,male-single,none,2,real estate,41,none,own,1,skilled employee,1,yes,yes
1,no cheking account,18,existing credits,radio/TV,1453,100 <= savings < 500,employed < 1 year,3,female-divorced/married,none,1,real estate,26,none,own,1,skilled employee,1,none,yes
1,no cheking account,10,existing credits,car-new,1364,500 <= savings < 1000,1 <= employed < 4 years,2,female-divorced/married,none,4,car or other,64,none,own,1,skilled employee,1,yes,yes
1,no cheking account,6,existing credits,funiture,1543,500 <= savings < 1000,1 <= employed < 4 years,4,male-divorced,none,2,real estate,33,none,own,1,skilled employee,1,none,yes
1,0 <= account < 200,12,existing credits,car-new,1318,no savings,employed >= 7 years,4,male-single,none,4,real estate,54,none,own,1,skilled employee,1,yes,yes
1,account < 0 ,24,all credits paid back,car-new,2325,savings >= 1000,4 <= employed < 7 years,2,male-single,none,3,car or other,32,bank,own,1,skilled employee,1,none,yes
1,0 <= account < 200,6,critical account,retraining,932,savings >= 1000,4 <= employed < 7 years,1,female-divorced/married,none,3,building society,39,none,own,2,unskilled-resident,1,none,yes
1,account >= 200,24,critical account,radio/TV,3148,500 <= savings < 1000,1 <= employed < 4 years,3,male-single,none,2,car or other,31,none,own,2,skilled employee,1,yes,yes
1,no cheking account,36,existing credits,radio/TV,3835,no savings,employed >= 7 years,2,female-divorced/married,none,4,real estate,45,none,own,1,unskilled-resident,1,yes,yes
1,no cheking account,9,existing credits,education,3832,no savings,employed >= 7 years,1,male-single,none,4,real estate,64,none,own,1,unskilled-resident,1,none,yes
1,0 <= account < 200,24,existing credits,radio/TV,5084,no savings,employed >= 7 years,2,female-divorced/married,none,4,car or other,42,none,own,1,skilled employee,1,yes,yes
1,no cheking account,9,critical account,funiture,2406,savings < 100,unemployed,2,male-single,none,3,car or other,31,none,own,1,high qualified employee,1,none,yes
1,no cheking account,36,existing credits,radio/TV,2394,500 <= savings < 1000,1 <= employed < 4 years,4,female-divorced/married,none,4,car or other,25,none,own,1,skilled employee,1,none,yes
1,no cheking account,21,existing credits,car-used,2476,no savings,employed >= 7 years,4,male-single,none,4,real estate,46,none,own,1,high qualified employee,1,yes,yes
1,account < 0 ,24,existing credits,car-used,2964,no savings,employed >= 7 years,4,male-single,none,4,no property,49,bank,for free,1,skilled employee,2,yes,yes
1,account < 0 ,12,existing credits,funiture,1262,no savings,employed >= 7 years,2,male-divorced,none,4,building society,49,none,own,1,unskilled-resident,1,yes,yes
1,no cheking account,12,existing credits,business,1542,savings >= 1000,4 <= employed < 7 years,2,male-single,none,4,car or other,36,none,own,1,skilled employee,1,yes,yes
1,0 <= account < 200,24,critical account,radio/TV,1743,no savings,employed >= 7 years,4,male-single,none,2,building society,48,none,own,2,unskilled-resident,1,none,yes
1,account >= 200,12,all credits paid back,radio/TV,409,500 <= savings < 1000,1 <= employed < 4 years,3,female-divorced/married,none,3,real estate,42,none,rent,2,skilled employee,1,none,yes
1,no cheking account,12,existing credits,radio/TV,2171,100 <= savings < 500,employed < 1 year,2,female-divorced/married,none,2,car or other,29,bank,own,1,skilled employee,1,none,yes
1,no cheking account,48,critical account,car-used,8858,savings >= 1000,4 <= employed < 7 years,2,male-single,none,1,no property,35,none,for free,2,skilled employee,1,yes,yes
1,0 <= account < 200,24,existing credits,car-new,3512,savings >= 1000,4 <= employed < 7 years,2,male-single,none,3,car or other,38,bank,own,2,skilled employee,1,yes,yes
1,0 <= account < 200,12,existing credits,radio/TV,1158,500 <= savings < 1000,1 <= employed < 4 years,3,male-divorced,none,1,car or other,26,none,own,1,skilled employee,1,yes,yes
1,no cheking account,24,critical account,radio/TV,2684,500 <= savings < 1000,1 <= employed < 4 years,4,male-single,none,2,real estate,35,none,own,2,unskilled-resident,1,none,yes
1,account < 0 ,12,existing credits,radio/TV,1498,500 <= savings < 1000,1 <= employed < 4 years,4,female-divorced/married,none,1,car or other,23,bank,own,1,skilled employee,1,none,yes
1,no cheking account,30,critical account,radio/TV,5954,savings >= 1000,4 <= employed < 7 years,3,male-single,co-applicant,2,car or other,38,none,own,1,skilled employee,1,none,yes
0,0 <= account < 200,48,all credits paid back,business,6416,no savings,employed >= 7 years,4,female-divorced/married,none,3,no property,59,none,rent,1,skilled employee,1,none,yes
1,0 <= account < 200,12,critical account,funiture,3617,no savings,employed >= 7 years,1,male-single,none,4,car or other,28,none,rent,3,skilled employee,1,yes,yes
1,no cheking account,12,critical account,radio/TV,1291,500 <= savings < 1000,1 <= employed < 4 years,4,female-divorced/married,none,2,building society,35,none,own,2,skilled employee,1,none,yes
1,account >= 200,24,critical account,business,1275,500 <= savings < 1000,1 <= employed < 4 years,2,male-divorced,none,4,real estate,36,none,own,2,skilled employee,1,yes,yes
1,no cheking account,24,existing credits,funiture,3972,savings >= 1000,4 <= employed < 7 years,2,female-divorced/married,none,4,building society,25,none,rent,1,skilled employee,1,yes,yes
1,no cheking account,15,critical account,funiture,3343,500 <= savings < 1000,1 <= employed < 4 years,4,male-single,none,2,no property,28,none,for free,1,skilled employee,1,yes,yes
1,account >= 200,15,existing credits,education,392,100 <= savings < 500,employed < 1 year,4,female-divorced/married,none,4,building society,23,none,rent,1,skilled employee,1,yes,yes
1,no cheking account,9,critical account,car-new,2134,500 <= savings < 1000,1 <= employed < 4 years,4,male-single,none,4,car or other,48,none,own,3,skilled employee,1,yes,yes
1,no cheking account,30,critical account,radio/TV,5771,savings >= 1000,4 <= employed < 7 years,4,female-divorced/married,none,2,car or other,25,none,own,2,skilled employee,1,none,yes
1,no cheking account,24,critical account,business,4526,500 <= savings < 1000,1 <= employed < 4 years,3,male-single,none,2,real estate,74,none,own,1,high qualified employee,1,yes,yes
1,no cheking account,15,critical account,funiture,2788,savings >= 1000,4 <= employed < 7 years,2,female-divorced/married,co-applicant,3,car or other,24,bank,own,2,skilled employee,1,none,yes
1,no cheking account,6,critical account,radio/TV,1382,500 <= savings < 1000,1 <= employed < 4 years,1,female-divorced/married,none,1,car or other,28,none,own,2,skilled employee,1,yes,yes
1,account >= 200,36,existing credits,radio/TV,5848,500 <= savings < 1000,1 <= employed < 4 years,4,male-single,none,1,car or other,24,none,own,1,skilled employee,1,none,yes
0,account < 0 ,12,existing credits,car-new,1228,500 <= savings < 1000,1 <= employed < 4 years,4,female-divorced/married,none,2,real estate,24,none,own,1,unskilled-resident,1,none,yes
