No,Saldo,Frek ATM,Jenis Kelamin,tempat tinggal,Frek Supermarket,Frek Dept Store,Usia
7671,17.585,7,Laki-Laki,urban,2,3,38
7672,1.305,2,Laki-Laki,rural,2,6,35
7673,1.315,3,Perempuan,urban,0,2,40
7674,6.222,6,Laki-Laki,rural,4,0,38
7675,2.966,6,Laki-Laki,urban,1,2,39
7676,4.791,2,Laki-Laki,urban,1,4,33
7677,0.494,0,Laki-Laki,rural,2,0,46
7678,8.937,10,Laki-Laki,rural,0,2,42
7679,12.142,6,Perempuan,urban,4,5,38
7680,11.523,6,Perempuan,rural,8,1,42
7681,0.745,2,Laki-Laki,urban,4,1,46
7682,4.578,2,Perempuan,rural,2,5,36
7683,17.700,7,Laki-Laki,urban,5,6,37
7684,4.397,4,Perempuan,rural,1,2,48
7685,4.449,21,Perempuan,rural,9,1,39
7686,17.423,7,Laki-Laki,urban,2,1,33
7687,4.077,7,Laki-Laki,urban,2,2,41
7688,0.198,0,Perempuan,rural,0,5,32
7689,4.686,1,Perempuan,rural,1,2,34
7690,5.003,4,Perempuan,rural,1,3,35
7691,6.193,9,Laki-Laki,rural,0,2,41
7692,15.867,12,Laki-Laki,rural,2,5,40
7693,0.592,2,Laki-Laki,urban,3,0,45
7694,3.194,8,Perempuan,rural,3,2,47
7695,0.102,8,Laki-Laki,rural,5,2,39
7696,5.719,8,Perempuan,rural,5,1,42
7697,6.414,7,Laki-Laki,urban,3,4,45
7698,0.595,0,Perempuan,urban,5,0,39
7699,3.247,4,Perempuan,rural,2,3,37
7700,3.965,2,Perempuan,urban,2,3,33
7701,6.102,9,Laki-Laki,rural,1,2,32
7702,2.442,3,Laki-Laki,rural,1,4,35
7703,6.665,2,Perempuan,urban,3,1,45
7704,0.556,0,Laki-Laki,rural,0,2,39
7705,1.201,2,Perempuan,urban,0,4,46
7706,9.600,10,Perempuan,urban,4,0,28
7707,9.324,3,Perempuan,rural,5,3,43
7708,3.805,1,Laki-Laki,rural,2,2,33
7709,6.697,6,Laki-Laki,rural,5,0,40
7710,0.488,1,Laki-Laki,rural,2,0,36
7711,1.005,4,Laki-Laki,rural,1,2,38
7712,0.584,1,Laki-Laki,rural,2,1,37
7713,5.366,5,Laki-Laki,urban,6,4,45
7714,5.662,5,Perempuan,rural,4,0,29
7715,3.830,3,Laki-Laki,rural,2,3,40
7716,1.836,0,Laki-Laki,rural,1,3,39
7717,4.762,5,Laki-Laki,urban,3,2,39
7718,18.795,6,Laki-Laki,urban,3,2,37
7719,0.862,2,Perempuan,rural,6,1,37
7720,7.011,7,Laki-Laki,rural,0,0,41
7721,5.288,2,Perempuan,rural,3,2,41
7722,9.814,4,Perempuan,rural,1,2,40
7723,0.294,5,Laki-Laki,urban,11,0,41
7724,15.256,19,Laki-Laki,rural,8,1,37
7725,0.125,4,Perempuan,urban,2,0,35
7726,1.072,2,Perempuan,urban,0,3,36
7727,11.545,8,Perempuan,rural,3,5,34
7728,8.788,5,Laki-Laki,rural,1,2,35
7729,0.449,4,Laki-Laki,urban,2,4,41
7730,0.576,4,Laki-Laki,rural,1,1,46
7731,12.384,7,Perempuan,rural,0,3,43
7732,0.919,4,Perempuan,rural,2,1,52
7733,6.648,7,Perempuan,rural,2,2,35
7734,5.491,4,Perempuan,rural,3,4,33
7735,1.322,2,Perempuan,rural,1,2,28
7736,9.797,6,Perempuan,urban,1,2,39
7737,0.274,0,Laki-Laki,urban,2,3,40
7738,4.376,1,Laki-Laki,urban,0,4,41
7739,5.392,3,Laki-Laki,rural,0,2,34
7740,1.965,2,Laki-Laki,rural,1,6,38
7741,6.010,5,Perempuan,urban,4,6,41
7742,0.536,3,Perempuan,urban,3,1,35
7743,5.050,3,Perempuan,urban,4,1,35
7744,9.825,4,Laki-Laki,rural,5,1,42
7745,13.494,6,Laki-Laki,urban,4,2,41
7746,4.485,2,Laki-Laki,rural,3,1,49
7747,4.731,0,Laki-Laki,urban,1,3,33
7748,4.285,14,Perempuan,urban,1,8,29
7749,9.438,8,Perempuan,rural,3,1,42
7750,7.633,2,Perempuan,urban,0,2,34
7751,2.717,0,Laki-Laki,urban,2,1,42
7752,4.302,4,Perempuan,urban,0,2,40
7753,17.298,9,Laki-Laki,rural,5,1,42
7754,2.611,2,Laki-Laki,rural,12,3,46
7755,4.026,5,Perempuan,urban,2,2,39
7756,8.387,6,Laki-Laki,rural,6,0,36
7757,0.704,4,Perempuan,rural,3,6,33
7758,1.749,6,Perempuan,rural,2,1,42
7759,4.097,5,Perempuan,urban,4,2,32
7760,0.001,4,Perempuan,urban,1,1,27
7761,0.140,1,Perempuan,rural,0,2,45
7762,7.643,4,Laki-Laki,rural,0,1,40
7763,1.414,1,Perempuan,rural,4,6,48
7764,3.224,1,Laki-Laki,rural,0,9,41
7765,1.677,4,Laki-Laki,urban,0,0,45
7766,11.697,4,Perempuan,rural,0,3,41
7767,15.666,10,Laki-Laki,rural,2,1,38
7768,5.853,5,Perempuan,urban,3,1,41
7769,2.867,0,Perempuan,rural,3,1,30
7770,0.490,1,Laki-Laki,urban,1,0,40
7771,5.771,2,Laki-Laki,urban,2,0,46
7772,3.827,2,Perempuan,rural,2,0,34
7773,10.165,5,Laki-Laki,urban,5,5,42
7774,4.218,4,Laki-Laki,urban,1,0,36
7775,7.376,3,Perempuan,rural,4,0,42
7776,0.051,5,Laki-Laki,urban,3,1,41
7777,20.491,7,Perempuan,rural,6,5,34
7778,8.311,7,Perempuan,urban,5,1,37
7779,5.666,3,Perempuan,urban,2,1,30
7780,4.193,5,Perempuan,urban,4,1,39
7781,3.729,4,Laki-Laki,urban,0,4,30
7782,0.026,3,Laki-Laki,rural,3,2,37
7783,8.279,2,Laki-Laki,rural,2,2,46
7784,0.922,2,Laki-Laki,rural,0,2,49
7785,0.552,3,Laki-Laki,rural,3,0,39
7786,4.046,3,Perempuan,urban,3,4,34
7787,13.337,2,Laki-Laki,rural,0,3,40
7788,1.402,4,Perempuan,rural,2,2,34
7789,2.465,3,Perempuan,urban,0,1,35
7790,8.915,5,Perempuan,urban,5,0,34
7791,0.442,6,Perempuan,urban,8,0,42
7792,3.738,2,Perempuan,rural,1,1,37
7793,1.035,1,Laki-Laki,urban,1,2,41
7794,5.308,0,Laki-Laki,rural,1,2,37
7795,17.196,5,Perempuan,urban,3,2,33
7796,18.345,6,Laki-Laki,rural,3,2,32
7797,9.496,4,Laki-Laki,urban,1,2,39
7798,1.191,4,Laki-Laki,rural,0,1,38
7799,4.663,6,Laki-Laki,urban,5,2,43
7800,3.271,3,Perempuan,rural,5,2,45
7801,1.369,0,Perempuan,rural,5,4,26
7802,14.897,22,Perempuan,urban,4,2,41
7803,0.949,3,Laki-Laki,rural,2,2,39
7804,17.567,6,Laki-Laki,rural,8,13,46
7805,34.742,17,Laki-Laki,rural,5,4,33
7806,5.165,1,Perempuan,urban,1,3,37
7807,0.191,6,Perempuan,rural,4,0,39
7808,11.063,7,Perempuan,rural,9,6,47
7809,0.172,1,Perempuan,rural,2,3,37
7810,21.013,11,Perempuan,rural,5,4,37
7811,0.386,3,Perempuan,rural,2,2,39
7812,0.076,7,Perempuan,rural,3,1,39
7813,2.349,4,Laki-Laki,urban,4,1,30
7814,3.483,1,Laki-Laki,rural,3,1,34
7815,14.794,14,Perempuan,rural,6,0,43
7816,14.139,5,Laki-Laki,urban,2,3,30
7817,0.220,0,Perempuan,urban,4,2,33
7818,1.814,5,Laki-Laki,rural,3,2,36
7819,4.086,7,Laki-Laki,urban,3,0,36
7820,4.655,1,Perempuan,rural,1,2,35
7821,1.234,0,Laki-Laki,urban,1,2,46
7822,11.129,6,Laki-Laki,rural,4,3,37
7823,2.177,4,Perempuan,rural,1,2,39
7824,37.911,8,Perempuan,rural,3,2,39
7825,1.445,2,Perempuan,rural,5,0,35
7826,1.955,8,Laki-Laki,urban,5,4,25
7827,0.215,4,Perempuan,rural,1,1,35
7828,2.703,5,Laki-Laki,rural,1,2,37
7829,3.696,7,Perempuan,rural,4,3,40
7830,3.733,5,Perempuan,rural,8,4,39
7831,21.001,8,Perempuan,rural,9,4,33
7832,14.917,4,Perempuan,urban,5,2,35
7833,14.140,5,Laki-Laki,urban,1,5,48
7834,2.101,2,Laki-Laki,rural,1,3,32
7835,2.182,4,Laki-Laki,urban,1,2,40
7836,2.079,2,Laki-Laki,urban,2,2,32
7837,0.083,5,Perempuan,rural,4,0,41
7838,0.219,1,Perempuan,urban,7,0,38
7839,8.729,4,Perempuan,rural,1,7,42
7840,1.088,4,Laki-Laki,urban,0,2,25
7841,3.498,2,Perempuan,rural,5,1,43
7842,8.327,12,Perempuan,rural,4,1,41
7843,9.335,13,Perempuan,rural,4,1,35
7844,3.462,1,Laki-Laki,urban,1,3,33
7845,6.492,5,Perempuan,urban,1,4,37
7846,5.278,0,Perempuan,rural,3,1,30
7847,0.586,8,Laki-Laki,urban,1,2,43
7848,15.818,1,Perempuan,rural,3,2,42
7849,5.238,4,Laki-Laki,rural,1,2,33
7850,5.253,9,Laki-Laki,rural,2,1,28
7851,5.235,15,Perempuan,rural,5,3,39
7852,0.000,5,Laki-Laki,rural,5,2,41
7853,6.649,5,Perempuan,urban,2,0,42
7854,1.556,2,Laki-Laki,rural,1,0,37
7855,0.492,3,Laki-Laki,urban,0,0,39
7856,11.184,8,Perempuan,urban,9,7,36
7857,5.069,6,Perempuan,rural,1,0,44
7858,1.402,6,Perempuan,urban,1,1,42
7859,2.480,2,Laki-Laki,rural,1,0,39
7860,3.440,4,Perempuan,urban,3,2,41
7861,0.019,3,Laki-Laki,rural,0,2,38
7862,0.776,5,Laki-Laki,rural,0,0,33
7863,8.328,1,Perempuan,urban,2,2,44
7864,2.428,2,Laki-Laki,urban,0,1,45
7865,8.934,5,Laki-Laki,urban,4,2,44
7866,9.462,11,Laki-Laki,urban,1,2,38
7867,0.284,3,Perempuan,urban,5,2,26
7868,2.150,0,Laki-Laki,rural,1,0,37
7869,4.292,7,Perempuan,rural,5,2,38
7870,2.578,4,Laki-Laki,urban,8,2,40
7871,10.816,4,Laki-Laki,rural,1,5,37
7872,5.568,5,Perempuan,rural,3,1,34
7873,0.448,0,Perempuan,rural,1,1,32
7874,0.302,5,Laki-Laki,urban,0,2,48
7875,2.309,1,Perempuan,urban,6,1,37
7876,22.663,4,Perempuan,urban,11,5,37
7877,1.270,4,Laki-Laki,rural,2,4,31
7878,1.031,2,Perempuan,rural,4,3,39
7879,0.673,6,Perempuan,rural,1,1,39
7880,0.727,2,Perempuan,rural,5,2,44
7881,1.055,3,Perempuan,urban,1,0,35
7882,0.976,2,Perempuan,rural,4,1,35
7883,8.603,9,Laki-Laki,rural,3,4,33
7884,1.425,1,Laki-Laki,rural,2,2,41
7885,0.374,7,Perempuan,rural,6,0,39
7886,9.390,7,Perempuan,urban,2,2,35
7887,2.010,2,Laki-Laki,urban,1,2,41
7888,14.160,16,Laki-Laki,rural,3,4,28
7889,2.548,5,Laki-Laki,urban,0,0,43
7890,0.538,4,Laki-Laki,urban,1,3,36
7891,19.601,5,Perempuan,rural,3,1,34
7892,5.527,1,Laki-Laki,urban,1,1,25
7893,4.406,6,Laki-Laki,urban,0,1,42
7894,19.305,16,Perempuan,urban,9,5,32
7895,9.273,9,Perempuan,rural,2,1,35
7896,0.293,3,Laki-Laki,urban,2,3,33
7897,4.309,2,Laki-Laki,rural,0,0,44
7898,3.101,5,Laki-Laki,urban,2,1,41
7899,0.476,1,Laki-Laki,urban,0,3,43
7900,2.673,0,Laki-Laki,rural,1,2,40
7901,7.880,8,Laki-Laki,rural,8,3,50
7902,6.323,2,Laki-Laki,rural,3,0,39
7903,7.994,2,Laki-Laki,rural,0,5,43
7904,2.182,6,Perempuan,urban,1,0,38
7905,3.663,3,Laki-Laki,rural,2,3,41
7906,9.688,7,Laki-Laki,rural,2,2,43
7907,3.344,2,Perempuan,rural,4,3,48
7908,18.674,12,Laki-Laki,rural,4,2,40
7909,0.370,4,Perempuan,urban,10,2,32
7910,15.277,9,Laki-Laki,rural,5,1,38
7911,0.393,6,Perempuan,rural,6,2,29
7912,5.120,9,Laki-Laki,rural,3,3,42
7913,0.114,2,Perempuan,rural,9,2,34
7914,10.669,1,Perempuan,urban,1,2,39
7915,3.988,8,Laki-Laki,rural,1,3,43
7916,5.167,7,Perempuan,rural,0,0,29
7917,13.717,12,Perempuan,rural,3,11,34
7918,0.823,5,Laki-Laki,rural,3,4,34
7919,12.114,7,Laki-Laki,rural,3,4,43
7920,0.214,3,Laki-Laki,rural,1,1,39
7921,0.318,2,Perempuan,urban,4,1,49
7922,1.898,1,Laki-Laki,urban,1,2,37
7923,10.980,13,Perempuan,rural,5,3,31
7924,11.538,5,Laki-Laki,rural,2,1,37
7925,1.240,5,Laki-Laki,urban,3,2,34
7926,9.942,6,Laki-Laki,rural,2,1,34
7927,7.129,6,Perempuan,urban,5,2,44
7928,16.661,5,Laki-Laki,rural,3,5,31
7929,3.623,3,Laki-Laki,rural,1,0,39
7930,5.230,3,Perempuan,urban,0,2,35
7931,3.786,1,Laki-Laki,urban,1,0,46
7932,5.010,0,Perempuan,rural,1,2,35
7933,12.658,5,Laki-Laki,urban,1,10,40
7934,12.568,6,Laki-Laki,rural,7,3,43
7935,1.950,3,Perempuan,urban,3,0,36
7936,0.152,0,Perempuan,urban,0,2,38
7937,5.674,1,Laki-Laki,urban,1,3,35
7938,5.036,7,Perempuan,urban,5,3,39
7939,9.162,12,Laki-Laki,rural,3,7,30
7940,1.473,5,Perempuan,rural,2,2,34
7941,5.124,6,Perempuan,rural,4,0,42
7942,1.310,3,Perempuan,rural,1,3,37
7943,1.153,1,Laki-Laki,urban,0,2,29
7944,6.465,3,Perempuan,rural,4,1,49
7945,1.787,1,Laki-Laki,rural,2,6,37
7946,3.462,6,Laki-Laki,rural,2,2,38
7947,2.678,2,Laki-Laki,urban,2,2,40
7948,24.554,13,Laki-Laki,rural,4,1,40
7949,6.497,6,Perempuan,urban,4,0,36
7950,2.633,4,Perempuan,urban,6,2,43
7951,2.761,3,Perempuan,urban,1,6,36
7952,10.788,1,Perempuan,urban,5,10,38
7953,0.552,4,Perempuan,rural,2,0,30
7954,40.191,13,Perempuan,urban,3,4,38
7955,5.421,1,Laki-Laki,urban,0,3,30
7956,5.208,4,Perempuan,rural,5,1,43
7957,12.472,4,Laki-Laki,urban,1,4,31
7958,1.933,0,Perempuan,urban,3,0,42
7959,7.713,5,Laki-Laki,urban,2,1,36
7960,9.935,2,Laki-Laki,rural,2,2,34
7961,2.892,2,Perempuan,rural,5,1,33
7962,12.201,4,Perempuan,urban,3,1,29
7963,7.558,3,Laki-Laki,urban,4,2,41
7964,4.910,7,Perempuan,rural,5,1,37
7965,0.351,2,Perempuan,rural,3,0,38
7966,1.052,3,Laki-Laki,urban,0,0,43
7967,0.053,1,Laki-Laki,urban,4,3,42
7968,4.502,2,Perempuan,urban,2,0,26
7969,1.722,4,Laki-Laki,rural,2,3,41
7970,2.367,4,Laki-Laki,urban,1,2,37
7971,4.677,7,Laki-Laki,urban,0,5,31
7972,0.266,2,Perempuan,rural,5,3,35
7973,1.763,7,Perempuan,rural,1,0,42
7974,1.080,3,Perempuan,rural,2,2,35
7975,11.172,6,Laki-Laki,urban,1,3,36
7976,1.793,2,Laki-Laki,rural,0,2,31
7977,65.880,17,Laki-Laki,rural,6,2,32
7978,2.373,2,Perempuan,rural,4,1,34
7979,7.140,4,Perempuan,rural,3,1,38
7980,0.095,1,Perempuan,rural,1,2,36
7981,0.205,4,Perempuan,rural,0,1,41
7982,11.174,2,Perempuan,rural,3,1,45
7983,8.748,5,Perempuan,rural,1,1,37
7984,6.614,4,Perempuan,rural,3,2,35
7985,25.851,13,Perempuan,rural,7,3,52
7986,0.640,3,Laki-Laki,rural,1,1,41
7987,3.045,3,Laki-Laki,urban,8,2,32
7988,25.227,13,Perempuan,urban,6,2,39
7989,1.529,3,Laki-Laki,urban,1,1,36
7990,1.862,4,Laki-Laki,urban,4,2,34
7991,0.165,2,Perempuan,rural,3,3,36
7992,6.891,4,Laki-Laki,urban,3,7,40
7993,8.308,2,Perempuan,urban,3,2,38
7994,11.123,2,Perempuan,rural,4,2,30
7995,5.538,0,Perempuan,rural,1,3,38
7996,1.549,4,Perempuan,rural,2,3,35
7997,0.028,3,Perempuan,rural,7,2,35
7998,1.947,2,Perempuan,rural,5,1,42
7999,4.616,4,Perempuan,rural,3,6,44
8000,0.875,4,Laki-Laki,rural,0,1,45
8001,0.034,0,Perempuan,urban,0,0,35
8002,10.135,11,Perempuan,urban,4,5,30
8003,17.230,14,Laki-Laki,rural,1,5,43
8004,1.889,0,Perempuan,urban,5,3,34
8005,1.723,4,Laki-Laki,urban,2,3,36
8006,5.714,4,Perempuan,rural,3,2,41
8007,0.477,2,Laki-Laki,rural,0,2,34
8008,16.203,3,Laki-Laki,rural,1,1,39
8009,8.308,7,Perempuan,rural,4,2,42
8010,4.664,3,Laki-Laki,rural,0,1,38
8011,0.759,4,Laki-Laki,rural,0,2,36
8012,1.511,2,Laki-Laki,rural,1,1,34
8013,0.322,1,Perempuan,urban,4,3,37
8014,3.566,2,Perempuan,urban,1,2,35
8015,1.009,3,Perempuan,rural,3,3,34
8016,53.605,27,Laki-Laki,rural,4,2,40
8017,1.161,0,Perempuan,urban,2,1,35
8018,11.569,2,Laki-Laki,rural,1,7,41
8019,27.868,9,Perempuan,urban,7,9,33
8020,1.147,2,Laki-Laki,rural,1,2,46
8021,13.556,2,Perempuan,urban,2,5,46
8022,0.192,2,Laki-Laki,urban,0,2,41
8023,1.039,5,Perempuan,rural,4,1,36
8024,4.109,2,Perempuan,rural,6,3,28
8025,1.357,5,Perempuan,rural,4,1,46
8026,12.750,5,Perempuan,urban,4,3,37
8027,7.208,3,Perempuan,rural,1,2,34
8028,4.597,3,Laki-Laki,rural,0,1,43
8029,3.751,5,Laki-Laki,urban,4,2,41
8030,9.305,4,Laki-Laki,rural,1,3,27
8031,14.583,3,Perempuan,rural,4,1,32
8032,6.199,2,Perempuan,rural,7,2,41
8033,7.534,1,Perempuan,rural,2,0,37
8034,14.044,14,Laki-Laki,rural,2,2,42
8035,13.113,11,Perempuan,urban,7,7,32
8036,2.146,5,Laki-Laki,rural,0,0,29
8037,4.414,4,Perempuan,urban,2,2,44
8038,32.562,9,Perempuan,rural,7,8,38
8039,0.816,1,Laki-Laki,rural,1,2,38
8040,3.369,4,Perempuan,rural,3,1,39
8041,0.900,4,Laki-Laki,rural,1,0,35
8042,5.146,2,Perempuan,rural,2,0,29
8043,58.388,24,Laki-Laki,urban,10,6,46
8044,0.219,5,Laki-Laki,urban,1,1,29
8045,1.132,4,Laki-Laki,rural,0,3,49
8046,5.355,5,Perempuan,urban,2,2,38
8047,0.638,1,Laki-Laki,urban,1,1,41
8048,1.230,3,Perempuan,rural,6,0,39
8049,5.876,2,Laki-Laki,rural,2,1,35
8050,15.914,7,Perempuan,rural,1,4,35
8051,6.101,7,Laki-Laki,rural,3,2,31
8052,5.429,2,Laki-Laki,rural,1,0,34
8053,11.997,3,Laki-Laki,urban,1,3,36
8054,1.283,1,Perempuan,rural,3,2,34
8055,9.854,7,Perempuan,urban,5,4,45
